atlas,period,survey,site,X,Y,variable,variable_label,n_species_contributing,expected_richness,positive_importance,negative_importance,total_importance,net_score,direction_balance,total_site_importance,relative_importance_at_site
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,prec_breeding,Precipitation,157,70.58177005146939,2.6008593432870887e-4,0.0019478045124703117,0.00220789044679902,-0.001687718578141603,-0.7644032250732559,0.016438928516460376,0.1343086591433407
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,tmean_breeding,Temperature,157,70.58177005146939,0.0011858069538663836,2.4148979465830306e-4,0.0014272967485246873,9.443171592080801e-4,0.6616123522905557,0.016438928516460376,0.08682419581638355
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,hh,Land-use heterogeneity,157,45.05833260714128,8.429022365557017e-4,3.8567115273493006e-5,8.814693518291946e-4,8.043351212822088e-4,0.9124935763371471,0.017074166609609094,0.051625907839807327
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,perc_cropland,Cropland (% coverage),157,45.05833260714128,0.0029909593092591774,7.613638184240446e-4,0.003752323127683223,0.0022295954908351334,0.5941906959947079,0.017074166609609094,0.21976610709488273
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,perc_forest,Forest (% coverage),157,45.05833260714128,0.006128159410939181,3.0001991737014095e-4,0.006428179328309322,0.005828139493569041,0.906654776711387,0.017074166609609094,0.37648568596558235
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,perc_grass_shrub,Grass/Shrubland (% coverage),157,45.05833260714128,1.1378795858485727e-4,7.20081386330186e-5,1.8579609721787587e-4,4.177981995183869e-5,0.22486920111591535,0.017074166609609094,0.010881708107106822
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,perc_pasture,Pasture (% coverage),157,45.05833260714128,1.316465037725571e-4,3.752105149759439e-5,1.6916755527015152e-4,9.412545227496272e-5,0.5564036917401177,0.017074166609609094,0.00990780745778517
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,perc_urban,Urban (% coverage),157,45.05833260714128,0.0022862865136830494,3.1413312741654067e-4,0.00260041964109959,0.0019721533862665087,0.7583981274009227,0.017074166609609094,0.15230140952449836
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,prec_breeding,Precipitation,157,45.05833260714128,1.1978719149398387e-4,0.001481002063680497,0.0016007892551744812,-0.0013612148721865124,-0.8503398356694643,0.017074166609609094,0.09375504478640732
1,1970s,CC71_1,CC71,537499.8212735428,6307499.726024116,tmean_breeding,Temperature,157,45.05833260714128,0.0012773704250163666,1.7865182800888676e-4,0.0014560222530252535,0.0010987185970074793,0.7546028879192019,0.017074166609609094,0.08527632922392975
