atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,DD02,DD02_1,Thermal,CWM STI,157,12.085466471777643,NA,50.27953878145275,DD02,552499.8180619746,6262499.790504193
1,1970s,DD03,DD03_1,Thermal,CWM STI,157,12.092612833990023,NA,49.11939345451945,DD03,552499.8245235039,6267499.829924205
1,1970s,DD04,DD04_1,Thermal,CWM STI,157,12.094687851275172,NA,47.667699415084655,DD04,552499.8372124677,6272499.79574306
1,1970s,DD05,DD05_1,Thermal,CWM STI,157,12.111555297189064,NA,66.68599709807656,DD05,552499.7926802624,6277499.7984718
1,1970s,DD06,DD06_1,Thermal,CWM STI,157,12.098751372028476,NA,46.797805350373885,DD06,552499.8129379287,6282499.83961058
1,1970s,DD07,DD07_1,Thermal,CWM STI,157,12.091755360830486,NA,43.14344332981768,DD07,552499.8372333928,6287499.807062139
1,1970s,DD08,DD08_1,Thermal,CWM STI,157,12.092223501354644,NA,58.58261444033941,DD08,552499.8023283664,6292499.811338297
1,1970s,DD09,DD09_1,Thermal,CWM STI,157,12.069427548675934,NA,75.75872835703649,DD09,552499.8297948928,6297499.853941188
1,1970s,DD10,DD10_1,Thermal,CWM STI,157,12.150963361595595,NA,53.26812652659122,DD10,557499.856180533,6252499.733037651
1,1970s,DD11,DD11_1,Thermal,CWM STI,157,12.085609477858872,NA,77.17257040464558,DD11,557499.8762522964,6257499.80687196
1,1970s,BD35,BD35_1,Thermal,CWM STI,157,11.728702488301446,NA,42.02722825763121,BD35,467500.0749060298,6277499.704398919
1,1970s,DD12,DD12_1,Thermal,CWM STI,157,12.080331321096116,NA,66.67696356862886,DD12,557499.8255147779,6262499.806363893
1,1970s,DD13,DD13_1,Thermal,CWM STI,157,12.08054412099338,NA,42.86998838534929,DD13,557499.8249050891,6267499.844455846
1,1970s,DD14,DD14_1,Thermal,CWM STI,157,12.10822339385415,NA,43.39970132831648,DD14,557499.8135712934,6272499.808981645
1,1970s,DD16,DD16_1,Thermal,CWM STI,157,12.088327305827608,NA,65.7151358700921,DD16,557499.812499,6282499.851962599
1,1970s,DD17,DD17_1,Thermal,CWM STI,157,12.104793707573078,NA,62.48815620410671,DD17,557499.8226555676,6287499.819056403
1,1970s,DD18,DD18_1,Thermal,CWM STI,157,12.096159984709427,NA,67.73746179148021,DD18,557499.815944289,6292499.935076535
