species,variable,variable_label,period_from,weighted_beta_from,standardized_beta_from,prob_positive_from,support_state_from,period_to,weighted_beta_to,standardized_beta_to,prob_positive_to,support_state_to,atlas_from,atlas_to,transition,delta_weighted_beta,abs_delta_weighted_beta,delta_standardized_beta,abs_delta_standardized_beta,support_state_switch,supported_sign_flip,large_jump_cutoff,predictor_large_jump
Columba_palumbus,tmean_breeding,Temperature,1970s,-0.002605900051414719,-0.017372667009431457,0.425,Unsupported,1990s,-0.0034861745530081188,-0.02206439590511467,0.421,Unsupported,1,2,1970s to 1990s,-8.802745015934e-4,8.802745015934e-4,-0.004691728895683214,0.004691728895683214,FALSE,FALSE,0.1398968467719789,FALSE
Columba_palumbus,prec_breeding,Precipitation,1970s,-0.15159522042195314,-0.16300561335693886,0.035,Supported negative,1990s,-0.2590747567104819,-0.2638235811715702,0.009,Supported negative,1,2,1970s to 1990s,-0.10747953628852877,0.10747953628852877,-0.10081796781463132,0.10081796781463132,FALSE,FALSE,0.1398968467719789,FALSE
Columba_palumbus,hh,Land-use heterogeneity,1970s,-1.773952135698751e-4,-0.004031709399315339,0.478,Unsupported,1990s,0.1152002061937718,0.14117672327668113,0.908,Unsupported,1,2,1970s to 1990s,0.11537760140734168,0.11537760140734168,0.14520843267599648,0.14520843267599648,FALSE,FALSE,0.1398968467719789,FALSE
Columba_palumbus,perc_urban,Urban,1970s,0.17873077254859304,0.1798096303305765,0.997,Supported positive,1990s,0.4753178758222476,0.4753178758222476,1,Supported positive,1,2,1970s to 1990s,0.29658710327365456,0.29658710327365456,0.2955082454916711,0.2955082454916711,FALSE,FALSE,0.1398968467719789,TRUE
Columba_palumbus,perc_cropland,Cropland,1970s,0.3119392524405037,0.3119392524405037,1,Supported positive,1990s,0.4506518697270949,0.4506518697270949,1,Supported positive,1,2,1970s to 1990s,0.13871261728659123,0.13871261728659123,0.13871261728659123,0.13871261728659123,FALSE,FALSE,0.1398968467719789,FALSE
Columba_palumbus,perc_pasture,Pasture,1970s,-0.03529076997166993,-0.05804402955866766,0.196,Unsupported,1990s,0.003240399115657208,0.01761086475900657,0.592,Unsupported,1,2,1970s to 1990s,0.03853116908732714,0.03853116908732714,0.07565489431767422,0.07565489431767422,FALSE,FALSE,0.1398968467719789,FALSE
Columba_palumbus,perc_forest,Forest,1970s,0.4975223465341573,0.4975223465341573,1,Supported positive,1990s,0.40034254740682235,0.40034254740682235,1,Supported positive,1,2,1970s to 1990s,-0.09717979912733493,0.09717979912733493,-0.09717979912733493,0.09717979912733493,FALSE,FALSE,0.1398968467719789,FALSE
Columba_palumbus,perc_grass_shrub,Grass/Shrubland,1970s,0.04689133627436472,0.069987069066216,0.835,Unsupported,1990s,0.12996987909669142,0.14345461268950488,0.953,Supported positive,1,2,1970s to 1990s,0.0830785428223267,0.0830785428223267,0.07346754362328888,0.07346754362328888,TRUE,FALSE,0.1398968467719789,FALSE
Streptopelia_decaocto,tmean_breeding,Temperature,1970s,0.0860700468863457,0.09022017493327641,0.977,Supported positive,1990s,0.03557212445056731,0.05096292901227408,0.849,Unsupported,1,2,1970s to 1990s,-0.05049792243577839,0.05049792243577839,-0.03925724592100233,0.03925724592100233,TRUE,FALSE,0.1398968467719789,FALSE
Streptopelia_decaocto,prec_breeding,Precipitation,1970s,0.00434598108384884,0.01697648860878453,0.628,Unsupported,1990s,-0.09423064710389975,-0.10024536925946782,0.03,Supported negative,1,2,1970s to 1990s,-0.0985766281877486,0.0985766281877486,-0.11722185786825236,0.11722185786825236,TRUE,FALSE,0.1398968467719789,FALSE
