thermal_group,variable_clean,atlas,atlas_label,n_species,mean_vp,median_vp,signed_vp_mean,supported_species,supported_vp,total_vp,direction_score,positive_species,negative_species,supported_vp_share,effect_direction
warm,Pasture,1,1970s,31,0.001771704807805386,0.0014900998563026368,0.002510403998980563,7,0.022802174938062983,0.05492284904196697,0.7706645546136105,7,2,0.4151673727020182,Higher at max
warm,Pasture,2,1990s,31,0.002861190627245389,0.0014457274091801873,0.004059918822574159,13,0.0717285385957583,0.08869690944460706,0.7358151403433888,12,3,0.8086926483109782,Higher at max
warm,Pasture,3,2010s,31,0.0048438990172715544,0.0015647122342590915,0.009567421459029791,13,0.13024969380801915,0.1501608695354182,0.9549080334170407,13,2,0.8674010360421984,Higher at max
warm,Precipitation,1,1970s,31,0.0077111288172577175,0.00431863355750675,-0.01001458505300671,16,0.20660298259701576,0.2390449933349893,-0.7755617021301503,3,15,0.8642849185612917,Lower at max
warm,Precipitation,2,1990s,31,0.006193314149433408,0.0036447886491784145,-0.00884580288680553,18,0.16651402926085634,0.19199273863243557,-0.9562224436540588,2,18,0.8672933697750025,Lower at max
warm,Precipitation,3,2010s,31,0.007093350603667844,0.004092546199464329,-0.009363444912407917,16,0.17472353763891982,0.21989386871370312,-0.8574409642971608,3,15,0.7945812162066508,Lower at max
warm,Temperature,1,1970s,31,0.005473795193266156,0.0024009679981254707,0.001755315612303462,16,0.14854264310243742,0.1696876509912508,0.1890706211379818,11,7,0.8753886463434889,Higher at max
warm,Temperature,2,1990s,31,0.009131690360026295,0.002018480632418017,0.00209364198619967,12,0.24977696461474605,0.2830824011608152,0.10058455099391025,6,8,0.8823472020531973,Higher at max
warm,Temperature,3,2010s,31,0.006970164541555005,0.00319170256599481,0.009535106026891827,13,0.1794982039445971,0.2160751007882051,0.6905716916691459,11,4,0.8307213709021459,Higher at max
warm,Urban,1,1970s,31,0.009242004340805635,0.004358606335360705,0.011478770104545696,21,0.27094655497280673,0.28650213456497464,0.8896742467150125,19,4,0.9457051877962881,Higher at max
warm,Urban,2,1990s,31,0.012913898721078202,0.005883170029334423,0.01370642391755558,21,0.3806770009980682,0.40033086035342436,0.7561131917978094,19,4,0.9509059597903466,Higher at max
warm,Urban,3,2010s,31,0.02342940893102628,0.012913036778851425,0.023708309492584484,26,0.7170850340634605,0.7263116768618145,0.8596135988422332,26,2,0.9872965792891838,Higher at max
very warm,Cropland,1,1970s,32,0.010722361961174801,0.004364132629835646,-0.006760088274587574,10,0.24793337036134544,0.3431155827575936,-0.2726574589267762,7,5,0.7225943175437385,Lower at max
very warm,Cropland,2,1990s,32,0.015436056763012792,0.009429082659056173,0.008338406422766126,16,0.41581041848657957,0.4939538164164094,0.32085416053269006,12,6,0.8418001940004165,Higher at max
very warm,Cropland,3,2010s,32,0.014973190968558718,0.007079991702214336,0.005550761319584239,17,0.42360538332428876,0.479142110993879,0.22276143351250333,11,8,0.884091324065858,Higher at max
very warm,Forest,1,1970s,32,0.011670172106747171,0.003962157992485504,0.008382106041583093,15,0.32941797496971803,0.3734455074159095,0.3816779902047067,13,4,0.8821045331329757,Higher at max
very warm,Forest,2,1990s,32,0.015777409461459807,0.004762235782673263,0.012794344432503154,19,0.4748901258177651,0.5048771027667138,0.5118921851637837,15,6,0.9406053933033982,Higher at max
very warm,Forest,3,2010s,32,0.02097677749754833,0.0051156853714320796,0.018539020117719584,18,0.6201376093297224,0.6712568799215467,0.5381101824797174,11,9,0.9238454426004559,Higher at max
very warm,Grass/Shrubland,1,1970s,32,0.0028178676345331373,0.002198162065380162,0.0015587240398424662,9,0.04624927775954843,0.0901717643050604,0.3033240093286847,8,3,0.5129019944988804,Higher at max
very warm,Grass/Shrubland,2,1990s,32,0.0030671473216932537,0.0023175806677325096,0.006084912485247089,8,0.05391514921144713,0.09814871429418412,0.9028872328826132,8,2,0.5493209931395089,Higher at max
very warm,Grass/Shrubland,3,2010s,32,0.0036511800389717308,0.0017737902306522724,-0.006175430132021474,10,0.08164950927206585,0.1168377612470954,-0.7563340168333661,3,9,0.6988280877736834,Lower at max
very warm,Land-use heterogeneity,1,1970s,32,0.006534014597441231,0.0022710485285512083,0.022315168151644773,6,0.13389100890986863,0.20908846711811938,1,7,1,0.6403557821973519,Higher at max
very warm,Land-use heterogeneity,2,1990s,32,0.007597019616937957,0.004585302293172352,0.011838361523129181,16,0.18941378437006687,0.24310462774201463,1,17,1,0.7791451200635922,Higher at max
very warm,Land-use heterogeneity,3,2010s,32,0.008966699413061118,0.005839406973712344,0.012653582765311635,18,0.22776448977560948,0.2869343812179558,1,19,1,0.7937859827351929,Higher at max
very warm,Pasture,1,1970s,32,0.002260597033092111,0.0016940614484957234,0.0027527606584805573,5,0.028875406692919568,0.07233910505894754,0.4766617986986746,5,2,0.3991673199355955,Higher at max
very warm,Pasture,2,1990s,32,0.005085660652399376,0.002847518941244013,0.004378047340978903,20,0.14390444366274552,0.16274114087678002,0.6084658999466751,16,6,0.8842536244212718,Higher at max
very warm,Pasture,3,2010s,32,0.00600151901604929,0.0034330453804146998,0.009132025815429226,17,0.16650159321758165,0.19204860851357725,0.9323901102821632,17,2,0.8669763061876624,Higher at max
very warm,Precipitation,1,1970s,32,0.011272001466186924,0.0061015152694407614,-5.405419814542718e-4,21,0.3317364160629765,0.3607040469179816,-0.03421807513705331,9,14,0.9196914170979849,Mixed
very warm,Precipitation,2,1990s,32,0.010756200466448871,0.0032572093747987784,-0.018543523216515645,15,0.30796076970046987,0.3441984149263638,-0.9032087058305281,3,14,0.8947187329911253,Lower at max
very warm,Precipitation,3,2010s,32,0.017815635786284274,0.009824228714649693,-0.007961621426536345,22,0.5421093542235169,0.5701003451610969,-0.32310025646888446,8,16,0.9509016418334735,Lower at max
very warm,Temperature,1,1970s,32,0.01861328249306961,0.0059358033292133275,0.030198002118048923,19,0.5737620402429296,0.5956250397782274,1,20,1,0.963294022119288,Higher at max
very warm,Temperature,2,1990s,32,0.026050359937304847,0.007309138168935631,0.038071751979798195,21,0.7995067915757619,0.833611517993755,1,22,1,0.9590879856122039,Higher at max
very warm,Temperature,3,2010s,32,0.020245791125526675,0.009221980294624062,0.03094230261399605,20,0.6188460522799211,0.6478653160168534,1,21,1,0.9552078757428382,Higher at max
very warm,Urban,1,1970s,32,0.0077060541234995105,0.004011463692256242,-2.4524371896320356e-4,17,0.2095361581322127,0.24659373195198434,-0.019897010900351897,12,7,0.849722158278592,Mixed
very warm,Urban,2,1990s,32,0.008780604390221028,0.00509605236662625,0.008782261414925616,17,0.23535535955737885,0.28097934048707296,0.6343532789502379,15,4,0.837625140515293,Higher at max
very warm,Urban,3,2010s,32,0.011188066753901786,0.0057773039070993185,0.0034976753327073877,17,0.31791212196935703,0.3580181361248572,0.1870343297628547,11,8,0.8879777024996482,Higher at max
