"survey","site","atlas","period","guild_richness","species_richness"
"BF27_2","BF27","2","1990s",15,43
"BF28_2","BF28","2","1990s",24,66
"BF31_2","BF31","2","1990s",23,61
"BF32_2","BF32","2","1990s",25,79
"BF33_2","BF33","2","1990s",20,73
"BF34_2","BF34","2","1990s",20,61
"BF38_2","BF38","2","1990s",24,73
"BF48_2","BF48","2","1990s",21,53
"BF49_2","BF49","2","1990s",23,69
"BF50_2","BF50","2","1990s",18,58
"BF51_2","BF51","2","1990s",20,61
"BF56_2","BF56","2","1990s",20,47
"BF57_2","BF57","2","1990s",18,47
"BF58_2","BF58","2","1990s",19,44
"BF59_2","BF59","2","1990s",24,59
"BF60_2","BF60","2","1990s",24,68
"BF61_2","BF61","2","1990s",24,60
"BF66_2","BF66","2","1990s",21,59
"BF70_2","BF70","2","1990s",19,49
"BF72_2","BF72","2","1990s",24,69
"BF73_2","BF73","2","1990s",22,54
"BF76_2","BF76","2","1990s",25,59
"BF80_2","BF80","2","1990s",19,56
