"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF65",52,52,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF67",38,46,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF68",57,44,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF69",57,52,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF70",34,49,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF71",45,53,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF72",53,69,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF73",41,54,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF76",45,59,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF77",51,49,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF78",53,44,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF79",53,50,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF80",52,56,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF81",55,60,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF82",64,61,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF83",60,69,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF85",43,59,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF87",32,51,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF88",53,42,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF89",53,38,-15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF90",52,71,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF91",43,58,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF92",47,68,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF93",41,64,23
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF94",50,46,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF95",47,53,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF97",47,64,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF98",28,54,26
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF99",36,63,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG27",64,61,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG28",59,69,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG29",87,76,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG30",37,28,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG31",85,99,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG32",92,85,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG33",17,23,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG39",54,40,-14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG41",61,68,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG42",72,65,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG43",39,38,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG45",35,44,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG49",66,64,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG50",47,54,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG55",73,78,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG57",25,44,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG58",41,77,36
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG60",63,58,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG61",60,48,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG62",68,59,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG63",73,53,-20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG64",60,66,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG65",60,73,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG66",65,73,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG67",35,55,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG68",33,56,23
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG69",39,45,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG70",50,57,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG71",52,49,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG72",59,54,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG73",65,71,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG74",55,54,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG75",54,66,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG76",80,69,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG79",47,70,23
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG80",59,42,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG81",51,42,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG82",50,60,10
