"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"CF82","CF82_1","1","1970s",76,154,100
"CF84","CF84_1","1","1970s",67,154,45.778468813505
"CF86","CF86_1","1","1970s",63,154,100
"CF87","CF87_1","1","1970s",65,154,100
"CF89","CF89_1","1","1970s",68,154,100
"CF90","CF90_1","1","1970s",56,154,69.9975665197082
"CF91","CF91_1","1","1970s",52,154,57.4774977957222
"CF92","CF92_1","1","1970s",67,154,96.1572828099174
"CF95","CF95_1","1","1970s",70,154,100
"CF98","CF98_1","1","1970s",65,154,100
"CG05","CG05_1","1","1970s",61,154,100
"CG07","CG07_1","1","1970s",67,154,100
"CG09","CG09_1","1","1970s",72,154,100
"CG13","CG13_1","1","1970s",55,154,100
"CG29","CG29_1","1","1970s",60,154,100
"CG39","CG39_1","1","1970s",68,154,100
"CG40","CG40_1","1","1970s",70,154,100
"CG42","CG42_1","1","1970s",58,154,100
"CG44","CG44_1","1","1970s",65,154,100
"CG47","CG47_1","1","1970s",65,154,100
"CG48","CG48_1","1","1970s",82,154,100
"CG49","CG49_1","1","1970s",64,154,100
"CG50","CG50_1","1","1970s",57,154,99.1584277425785
"CG51","CG51_1","1","1970s",78,154,98.1631917676952
"CG53","CG53_1","1","1970s",65,154,100
"CG54","CG54_1","1","1970s",52,154,100
"CG56","CG56_1","1","1970s",50,154,100
"CG57","CG57_1","1","1970s",53,154,100
"CG58","CG58_1","1","1970s",86,154,100
"CG59","CG59_1","1","1970s",76,154,100
"CG61","CG61_1","1","1970s",67,154,52.1409196559562
"CG65","CG65_1","1","1970s",62,154,100
"CG66","CG66_1","1","1970s",54,154,100
"CG68","CG68_1","1","1970s",69,154,100
"CG69","CG69_1","1","1970s",81,154,91.1674889131165
