"site","survey","atlas","period","species_richness","retained_species_pool_size"
"CD57","CD57_1","1","1970s",47,156
"CD60","CD60_1","1","1970s",65,156
"CD62","CD62_1","1","1970s",69,156
"CD63","CD63_1","1","1970s",55,156
"CD64","CD64_1","1","1970s",50,156
"CD67","CD67_1","1","1970s",57,156
"CD69","CD69_1","1","1970s",52,156
"CD70","CD70_1","1","1970s",52,156
"CD71","CD71_1","1","1970s",61,156
"CD74","CD74_1","1","1970s",70,156
"CD75","CD75_1","1","1970s",56,156
"CD80","CD80_1","1","1970s",52,156
"CD82","CD82_1","1","1970s",56,156
"CD83","CD83_1","1","1970s",68,156
"CD84","CD84_1","1","1970s",74,156
"CD90","CD90_1","1","1970s",62,156
"CD92","CD92_1","1","1970s",63,156
"CD95","CD95_1","1","1970s",70,156
"CD98","CD98_1","1","1970s",56,156
"CE11","CE11_1","1","1970s",41,156
"CE15","CE15_1","1","1970s",41,156
"CE17","CE17_1","1","1970s",67,156
"CE19","CE19_1","1","1970s",55,156
"CE20","CE20_1","1","1970s",51,156
"CE22","CE22_1","1","1970s",59,156
"CE27","CE27_1","1","1970s",47,156
"CE30","CE30_1","1","1970s",74,156
"CE31","CE31_1","1","1970s",71,156
"CE34","CE34_1","1","1970s",39,156
"CE35","CE35_1","1","1970s",55,156
"CE38","CE38_1","1","1970s",61,156
"CE42","CE42_1","1","1970s",47,156
"CE49","CE49_1","1","1970s",73,156
"CE51","CE51_1","1","1970s",85,156
"CE52","CE52_1","1","1970s",66,156
"CE60","CE60_1","1","1970s",81,156
"CE61","CE61_1","1","1970s",60,156
"CE62","CE62_1","1","1970s",64,156
"CE64","CE64_1","1","1970s",72,156
"CE67","CE67_1","1","1970s",57,156
"CE69","CE69_1","1","1970s",48,156
"CE72","CE72_1","1","1970s",83,156
"CE74","CE74_1","1","1970s",54,156
"CE75","CE75_1","1","1970s",55,156
"CE77","CE77_1","1","1970s",56,156
"CE78","CE78_1","1","1970s",65,156
"CE80","CE80_1","1","1970s",68,156
"CE81","CE81_1","1","1970s",75,156
"CE82","CE82_1","1","1970s",74,156
"CE84","CE84_1","1","1970s",53,156
"CE85","CE85_1","1","1970s",51,156
"CE86","CE86_1","1","1970s",56,156
"CE88","CE88_1","1","1970s",70,156
"CE89","CE89_1","1","1970s",45,156
"CE90","CE90_1","1","1970s",69,156
"CE91","CE91_1","1","1970s",76,156
"CE92","CE92_1","1","1970s",71,156
"CE99","CE99_1","1","1970s",51,156
"CF10","CF10_1","1","1970s",70,156
"CF13","CF13_1","1","1970s",74,156
"CF14","CF14_1","1","1970s",56,156
"CF15","CF15_1","1","1970s",57,156
"CF19","CF19_1","1","1970s",62,156
"CF23","CF23_1","1","1970s",56,156
"CF29","CF29_1","1","1970s",62,156
"CF32","CF32_1","1","1970s",62,156
"CF33","CF33_1","1","1970s",73,156
"CF34","CF34_1","1","1970s",74,156
"CF38","CF38_1","1","1970s",56,156
"CF40","CF40_1","1","1970s",66,156
"CF41","CF41_1","1","1970s",60,156
"CF42","CF42_1","1","1970s",38,156
"CF43","CF43_1","1","1970s",54,156
"CF44","CF44_1","1","1970s",63,156
"CF49","CF49_1","1","1970s",71,156
"CF50","CF50_1","1","1970s",72,156
"CF51","CF51_1","1","1970s",75,156
"CF52","CF52_1","1","1970s",56,156
"CF54","CF54_1","1","1970s",66,156
"CF55","CF55_1","1","1970s",62,156
"CF58","CF58_1","1","1970s",52,156
"CF59","CF59_1","1","1970s",65,156
"CF60","CF60_1","1","1970s",74,156
"CF61","CF61_1","1","1970s",61,156
"CF62","CF62_1","1","1970s",51,156
"CF64","CF64_1","1","1970s",67,156
"CF65","CF65_1","1","1970s",61,156
"CF69","CF69_1","1","1970s",65,156
"CF70","CF70_1","1","1970s",67,156
"CF71","CF71_1","1","1970s",55,156
"CF73","CF73_1","1","1970s",50,156
"CF75","CF75_1","1","1970s",52,156
"CF78","CF78_1","1","1970s",79,156
"CF79","CF79_1","1","1970s",58,156
"CF82","CF82_1","1","1970s",76,156
