"site","richness_1990s","richness_2010s","delta_raptor_richness"
"CG89",6,6,0
"CG90",3,1,-2
"CG94",3,2,-1
"CG95",1,1,0
"CG98",0,3,3
"CG99",0,2,2
"CH06",2,3,1
"CH07",2,2,0
"CH08",2,1,-1
"CH09",1,1,0
"CH16",2,1,-1
"CH17",1,1,0
"CH18",1,0,-1
"CH19",1,2,1
"CH25",0,0,0
"CH26",4,1,-3
"CH27",4,1,-3
"CH28",2,3,1
"CH29",3,1,-2
"CH34",6,1,-5
"CH35",6,5,-1
"CH36",1,0,-1
"CH37",5,4,-1
"CH38",2,1,-1
"CH39",0,2,2
"CH45",3,1,-2
"CH46",4,2,-2
"CH47",1,1,0
"CH48",4,5,1
"CH49",4,3,-1
"CH55",2,2,0
"CH56",4,3,-1
"CH57",4,4,0
"CH58",7,4,-3
"CH59",4,3,-1
"CH65",1,0,-1
"CH66",4,2,-2
"CH67",3,2,-1
"CH68",3,3,0
"CH69",4,4,0
"CH76",0,0,0
"CH77",5,3,-2
"CH78",1,5,4
"CH79",2,3,1
"CH85",1,0,-1
"CH86",2,3,1
"CH87",2,2,0
"CH88",3,3,0
"CH89",5,1,-4
"CH95",1,3,2
"CH96",2,2,0
"CH97",5,4,-1
"CH98",4,4,0
"CH99",2,2,0
"DB00",3,1,-2
"DB01",3,2,-1
"DB02",3,2,-1
"DB03",2,2,0
"DB04",4,2,-2
"DB05",2,2,0
"DC07",3,2,-1
"DC08",1,4,3
"DC09",4,4,0
"DA80",0,0,0
"DA90",0,0,0
"DB10",2,3,1
"DB11",2,2,0
"DB12",1,2,1
"DB13",4,4,0
"DB14",2,3,1
"DB15",4,3,-1
"DB16",3,3,0
"DB20",3,3,0
"DB21",4,2,-2
"DB22",3,2,-1
"DB23",1,0,-1
"DB24",4,3,-1
"DB25",2,2,0
"DB26",3,3,0
"DB30",2,3,1
"DB31",3,6,3
"DB32",3,4,1
"DB33",1,2,1
"DB34",5,5,0
"DB35",4,3,-1
"DB36",4,4,0
"DB40",5,4,-1
"DB41",2,2,0
"DB42",4,7,3
"DB43",2,4,2
"DB44",3,3,0
"DB45",3,4,1
"DB46",5,5,0
"DB47",4,2,-2
"DB50",4,4,0
"DB51",4,2,-2
"DB52",3,3,0
"DB53",3,3,0
"DB54",5,5,0
"DB55",5,5,0
"DB56",3,3,0
"DB57",3,4,1
"DB60",3,3,0
"DB61",3,4,1
"DB62",3,3,0
"DB63",4,6,2
"DB64",5,5,0
"DB65",4,3,-1
"DB66",3,2,-1
"DB67",3,3,0
"DB68",1,0,-1
"DB70",3,1,-2
"DB71",3,5,2
"DB72",4,3,-1
"DB73",6,3,-3
"DB74",5,1,-4
"DB75",4,2,-2
"DB76",0,0,0
"DB77",3,2,-1
"DB78",2,1,-1
"DB79",1,0,-1
"DB80",3,3,0
"DB81",2,1,-1
"DB82",1,1,0
"DB83",1,3,2
"DB84",3,2,-1
"DB89",1,1,0
"DB94",0,0,0
"DB99",0,0,0
"DC00",5,5,0
"DC01",2,5,3
"DC02",2,3,1
"DC03",1,1,0
"DC04",3,4,1
"DC05",3,2,-1
"DC06",5,3,-2
"DC10",2,3,1
"DC11",4,3,-1
"DC12",1,3,2
"DC13",3,4,1
"DC14",4,3,-1
"DC15",3,4,1
"DC16",3,2,-1
"DC17",2,2,0
"DC18",3,3,0
"DC19",2,2,0
"DC20",1,3,2
"DC21",2,5,3
"DC22",1,1,0
"DC23",2,1,-1
"DC24",1,4,3
"DC25",4,3,-1
"DC26",4,4,0
"DC27",3,3,0
"DC28",2,2,0
"DC29",3,2,-1
"DC30",2,2,0
"DC31",3,1,-2
"DC32",0,2,2
"DC33",3,1,-2
"DC34",1,2,1
"DC35",3,2,-1
"DC36",3,4,1
"DC37",3,1,-2
"DC38",2,2,0
"DC39",3,4,1
"DC40",4,4,0
"DC41",4,3,-1
"DC42",3,6,3
"DC43",4,3,-1
"DC44",1,2,1
"DC45",2,1,-1
"DC46",3,3,0
"DC47",4,4,0
"DC48",3,4,1
"DC49",4,5,1
"DC50",1,4,3
"DC51",1,3,2
"DC52",2,2,0
"DC53",4,4,0
"DC54",4,5,1
"DC55",3,3,0
"DC56",4,4,0
"DC57",5,5,0
"DC58",4,5,1
"DC59",3,4,1
"DC62",0,0,0
"DC63",2,1,-1
"DC64",3,3,0
"DC65",3,5,2
"DC66",3,3,0
"DC67",2,4,2
"DC68",3,1,-2
"DC69",4,5,1
"DC76",2,0,-2
"DC77",3,1,-2
"DC78",3,3,0
"DC79",3,5,2
"DC88",3,3,0
"DC89",3,3,0
"DD00",0,2,2
"DD01",6,3,-3
"DD02",3,3,0
"DD03",5,2,-3
"DD04",1,3,2
"DD05",1,3,2
"DD06",1,1,0
"DD07",3,1,-2
"DD08",3,2,-1
"DD09",4,4,0
"DD10",4,3,-1
"DD11",3,1,-2
"DD12",3,2,-1
"DD13",2,2,0
"DD14",2,4,2
"DD15",1,1,0
"DD16",1,1,0
"DD17",4,1,-3
"DD18",5,5,0
"DD19",4,4,0
"DD20",2,4,2
"DD21",4,4,0
"DD22",2,1,-1
"DD23",3,2,-1
"DD24",3,1,-2
"DD25",3,3,0
"DD26",2,2,0
"DD27",2,6,4
"DD28",4,2,-2
"DD29",3,4,1
"DD30",4,3,-1
"DD31",4,4,0
"DD32",3,2,-1
"DD33",2,2,0
"DD34",2,3,1
"DD35",2,6,4
"DD36",3,3,0
"DD37",4,4,0
"DD38",3,3,0
"DD39",2,3,1
"DD40",3,3,0
"DD41",2,6,4
"DD42",2,3,1
"DD43",4,5,1
"DD44",3,3,0
"DD45",4,4,0
"DD46",4,1,-3
"DD47",5,5,0
"DD48",4,2,-2
"DD49",5,4,-1
"DD50",4,2,-2
"DD51",4,1,-3
"DD52",5,2,-3
"DD53",4,2,-2
"DD54",4,1,-3
"DD55",4,1,-3
"DD56",2,2,0
"DD57",3,1,-2
"DD58",4,2,-2
"DD59",4,3,-1
"DD60",1,3,2
"DD61",3,2,-1
"DD62",2,1,-1
"DD63",4,1,-3
"DD64",3,1,-2
"DD65",3,3,0
"DD66",3,2,-1
"DD67",3,2,-1
"DD70",5,3,-2
"DD71",4,2,-2
"DD72",0,2,2
"DD73",1,1,0
"DD80",5,4,-1
"DD81",4,3,-1
"DD82",3,3,0
"DD90",4,4,0
"DD91",3,2,-1
"DD92",3,0,-3
