base_site,site_from,site_to,X,Y,predictor,predictor_label,coefficient,local_t,abs_local_t,direction,local_r2,trait_family,trait_value,n_species,model_set,supported,dominant_driver,dominant_direction
EF84,EF84,EF84,642500.2285859047,6172499.797269886,perc_forest,Forest,-0.0024958384361396784,-2.450091553428986,2.450091553428986,Negative,0.4598321717190168,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF85,EF85,EF85,642500.21561393,6177499.851854328,perc_forest,Forest,-0.002382097207354745,-2.3373990102975926,2.3373990102975926,Negative,0.45742611074683726,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF90,EF90,EF90,647500.1968096502,6152499.796485673,tmean_breeding,Temperature,-0.0043066621576858255,-3.103227972912862,3.103227972912862,Negative,0.4249156397595173,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Negative
EF91,EF91,EF91,647500.2025785598,6157499.7218825305,tmean_breeding,Temperature,-0.0037903986792600236,-2.6131351397121394,2.6131351397121394,Negative,0.4329748625173539,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Negative
EF92,EF92,EF92,647500.2346433615,6162499.805848634,perc_forest,Forest,-0.0025037149984522894,-2.4235052179171954,2.4235052179171954,Negative,0.4591501048493605,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF93,EF93,EF93,647500.2356114537,6167499.82370214,perc_forest,Forest,-0.0023954275027129055,-2.316829921969264,2.316829921969264,Negative,0.4629435134313491,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF94,EF94,EF94,647500.2037785846,6172499.7753932625,perc_forest,Forest,-0.002280135494864401,-2.2023782705483717,2.2023782705483717,Negative,0.46409701545040183,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF95,EF95,EF95,647500.2592736807,6177499.776383813,perc_forest,Forest,-0.002171635934687696,-2.09449231949476,2.09449231949476,Negative,0.463092243826792,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF96,EF96,EF96,647500.2117523269,6182499.820248794,perc_forest,Forest,-0.0020756976656760165,-2.0010236154355954,2.0010236154355954,Negative,0.4603374261995926,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG00,EG00,EG00,602500.2075383858,6102499.752554977,perc_forest,Forest,-0.003789290960452863,-3.408506860439314,3.408506860439314,Negative,0.36938653052395104,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG01,EG01,EG01,602500.1653777973,6107499.795298992,perc_forest,Forest,-0.003835974715612504,-3.522453041021791,3.522453041021791,Negative,0.37401924443799356,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG02,EG02,EG02,602500.1872741627,6112499.769644517,perc_forest,Forest,-0.0038683908482842386,-3.6218637854286295,3.6218637854286295,Negative,0.37780819131103854,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG03,EG03,EG03,602500.1419317244,6117499.7838923335,perc_forest,Forest,-0.003888921860565124,-3.7106035357847897,3.7106035357847897,Negative,0.38082081292892994,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG04,EG04,EG04,602500.155513311,6122499.8409451125,perc_forest,Forest,-0.003898384140728091,-3.792868566114521,3.792868566114521,Negative,0.38301534608455473,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG05,EG05,EG05,602500.1656467885,6127499.828034153,perc_forest,Forest,-0.0038998535037191315,-3.87066863141315,3.87066863141315,Negative,0.3841075599934763,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EG06,EG06,EG06,602500.1685459674,6132499.856394926,hh,Land-use heterogeneity,-0.0035215028839839855,-3.9812467881561,3.9812467881561,Negative,0.3868741555429362,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
EG07,EG07,EG07,602500.1629894912,6137499.92599472,hh,Land-use heterogeneity,-0.0035860481685266164,-4.118811101529162,4.118811101529162,Negative,0.38549224157049283,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
EG08,EG08,EG08,602500.1503424796,6142499.925529002,hh,Land-use heterogeneity,-0.0036363349096361517,-4.239876069129831,4.239876069129831,Negative,0.3822942593171197,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
