atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Sitta_europaea,0.006892193426974912,0.04804715725734216,0.05493935068431707,0.47054738158928267,0.5254867322735998,0.5254867322736,2.220446049250313e-16
1970s,1,Spinus_spinus,0.0032469814475907404,0.036464237230746266,0.039711218678337004,0.043423918165752015,0.08313513684408902,0.083135136844089,1.3877787807814457e-17
1970s,1,Sturnus_vulgaris,0.002394683511707748,0.03986203631043748,0.042256719822145225,0.13725341388337867,0.17951013370552388,0.179510133705524,1.1102230246251565e-16
1970s,1,Sylvia_atricapilla,0.0032104106320275092,0.026834694354652466,0.030045104986679977,0.39960869825160306,0.42965380323828306,0.429653803238283,5.551115123125783e-17
1970s,1,Sylvia_borin,0.007056552044705581,0.030042454248453063,0.03709900629315865,0.20012238664318108,0.23722139293633973,0.23722139293634,2.7755575615628914e-16
1970s,1,Troglodytes_troglodytes,0.006591375604719528,0.035562179972356465,0.04215355557707599,0.3231108202838805,0.3652643758609565,0.365264375860956,4.996003610813204e-16
1970s,1,Turdus_merula,0.010255753568488565,0.0782430826548448,0.08849883622333336,0.16336512996490113,0.2518639661882345,0.251863966188234,4.996003610813204e-16
1970s,1,Turdus_philomelos,0.002969453565402196,0.049614033052775286,0.05258348661817748,0.2842282473051879,0.3368117339233654,0.336811733923365,3.885780586188048e-16
1970s,1,Turdus_pilaris,0.004684046547786009,0.006026637528392996,0.010710684076179006,0.05931537378728382,0.07002605786346283,0.0700260578634629,6.938893903907228e-17
1970s,1,Turdus_viscivorus,0.023431912368895618,0.05839155044121085,0.08182346281010647,0.22642889329361976,0.30825235610372625,0.308252356103726,2.7755575615628914e-16
1970s,1,Ardea_cinerea,0.022625892834162595,0.014460833980706703,0.0370867268148693,0.04133645901386442,0.07842318582873373,0.0784231858287337,2.7755575615628914e-17
1970s,1,Botaurus_stellaris,0.05901477043468095,0.0398908362771804,0.09890560671186135,0.26773299342680196,0.36663860013866334,0.366638600138663,3.3306690738754696e-16
1970s,1,Dendrocopos_major,0.00420094841339131,0.08380366652745314,0.08800461494084444,0.3670898937078136,0.455094508648658,0.455094508648658,0
1970s,1,Dryobates_minor,0.014047786509807737,0.046043285670713585,0.06009107218052132,0.08135729670066477,0.1414483688811861,0.141448368881186,8.326672684688674e-17
1970s,1,Dryocopus_martius,0.08676684856864302,0.11450611606785926,0.2012729646365023,0.24492611184621896,0.4461990764827213,0.446199076482721,2.7755575615628914e-16
1970s,1,Jynx_torquilla,0.005989356270442026,0.08890047511919358,0.09488983138963561,0.0976494307282244,0.19253926211786002,0.19253926211786,2.7755575615628914e-17
1970s,1,Picus_viridis,0.0063065740374082125,0.0896057386367146,0.09591231267412281,0.3595119589654818,0.45542427163960464,0.455424271639605,3.885780586188048e-16
1970s,1,Podiceps_cristatus,0.005281674761598372,0.04095724220326514,0.04623891696486351,0.3373947904382827,0.3836337074031462,0.383633707403146,1.6653345369377348e-16
1970s,1,Podiceps_grisegena,0.023224774777943956,0.025872965594276924,0.04909774037222088,0.2216470791746901,0.270744819546911,0.270744819546911,0
