grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,support_class,n_class_pairs,n_group_pairs,observed_prop,atlas_prop,observed_minus_atlas_prop,unstable_small_pair_count,bootstrap_mean,bootstrap_median,bootstrap_lower_80,bootstrap_upper_80,bootstrap_lower_95,bootstrap_upper_95
foraging_guild,2,1990s,Between group,Diving ducks,Foliage gleaners,Diving ducks | Foliage gleaners,Supported positive,14,27,0.5185185185185185,0.6518863302302793,-0.13336781171176082,FALSE,0.518518518518522,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
foraging_guild,2,1990s,Between group,Diving ducks,Gallinaceous birds,Diving ducks | Gallinaceous birds,Supported positive,3,6,0.5,0.6518863302302793,-0.1518863302302793,TRUE,0.5,0.5,0.5,0.5,0.5,0.5
foraging_guild,2,1990s,Between group,Diving ducks,Grazing waterfowl,Diving ducks | Grazing waterfowl,Supported positive,6,6,1,0.6518863302302793,0.3481136697697207,TRUE,1,1,1,1,1,1
foraging_guild,2,1990s,Between group,Diving ducks,Gulls,Diving ducks | Gulls,Supported positive,14,15,0.9333333333333333,0.6518863302302793,0.28144700310305404,FALSE,0.9332666666666444,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
foraging_guild,2,1990s,Between group,Diving ducks,Kingfishers,Diving ducks | Kingfishers,Supported positive,2,3,0.6666666666666666,0.6518863302302793,0.01478033643638732,TRUE,0.6666666666666636,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
foraging_guild,2,1990s,Between group,Diving ducks,Low flycatching feeders,Diving ducks | Low flycatching feeders,Supported positive,11,27,0.4074074074074074,0.6518863302302793,-0.24447892282287192,FALSE,0.408037037037034,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
foraging_guild,2,1990s,Between group,Diving ducks,Marsh warblers,Diving ducks | Marsh warblers,Supported positive,12,18,0.6666666666666666,0.6518863302302793,0.01478033643638732,FALSE,0.6666666666666636,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
foraging_guild,2,1990s,Between group,Diving ducks,Nigthjars,Diving ducks | Nigthjars,Supported positive,0,3,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Diving ducks,Omnivorous corvids,Diving ducks | Omnivorous corvids,Supported positive,13,21,0.6190476190476191,0.6518863302302793,-0.03283871118266024,FALSE,0.6291904761904636,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6666666666666666
foraging_guild,2,1990s,Between group,Diving ducks,Open-land insectivores,Diving ducks | Open-land insectivores,Supported positive,11,18,0.6111111111111112,0.6518863302302793,-0.04077521911916815,FALSE,0.6111111111110975,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112
