"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"GE20_3","GE20","3","2010s",712500.405975216,6202499.79333492,76,0.135407177661914,0.891224382553862,208,FALSE
"DF31_3","DF31","3","2010s",567500.034701345,6157499.95135024,74,0.135253093642258,0.890698896479243,209,FALSE
"FE40_3","FE40","3","2010s",672500.300850739,6202499.85816425,78,0.135247912444157,0.890173410404624,210,FALSE
"GE30_3","GE30","3","2010s",717500.438621533,6202499.81445295,89,0.134787446114151,0.889647924330005,211,FALSE
"GF09_3","GF09","3","2010s",702500.340415636,6197499.81510443,79,0.134599388204045,0.889122438255386,212,FALSE
"DH06_3","DH06","3","2010s",552500.188518352,6082499.89409094,67,0.134217409298419,0.888596952180767,213,FALSE
"AF92_3","AF92","3","2010s",447500.205725094,6162499.83401409,51,0.134065458745988,0.888071466106148,214,FALSE
"EG85_3","EG85","3","2010s",642500.17591466,6127499.68525929,79,0.134003573390255,0.887545980031529,215,FALSE
"BH97_3","BH97","3","2010s",497500.046659301,6087499.76039121,61,0.133789185859205,0.88702049395691,216,FALSE
"DE75_3","DE75","3","2010s",587499.982294364,6227499.74091479,53,0.13372396951332,0.886495007882291,217,FALSE
"CD43_3","CD43","3","2010s",522499.972478831,6267499.73222928,90,0.132877143624075,0.885969521807672,218,FALSE
"BG94_3","BG94","3","2010s",497500.043607133,6122499.87301507,67,0.132299581902947,0.885444035733053,219,FALSE
"HA05_3","HA05","3","2010s",864612.115336128,6127436.83848543,78,0.132160604131867,0.884918549658434,220,FALSE
"BC54_3","BC54","3","2010s",477500.091967421,6322499.63835183,64,0.13214880411637,0.884393063583815,221,FALSE
"DC09_3","DC09","3","2010s",552499.678130504,6347499.77480463,73,0.131968482964227,0.883867577509196,222,FALSE
"BG39_3","BG39","3","2010s",467500.055518545,6147499.87400782,75,0.131775885638177,0.883342091434577,223,FALSE
"EH08_3","EH08","3","2010s",602500.162008367,6092499.78847124,63,0.13074013682314,0.882816605359958,224,FALSE
"FH23_3","FH23","3","2010s",662500.15225216,6067499.61791243,74,0.130634898455437,0.882291119285339,225,FALSE
"FF39_3","FF39","3","2010s",667500.276470834,6197499.82839865,75,0.130618713295346,0.88176563321072,226,FALSE
"BG66_3","BG66","3","2010s",482500.005883005,6132499.94164487,56,0.130609539605735,0.881240147136101,227,FALSE
"GF00_3","GF00","3","2010s",702500.33798049,6152499.68644445,87,0.130591646228149,0.880714661061482,228,FALSE
"CC61_3","CC61","3","2010s",532499.839351046,6307499.78471365,86,0.130583071906627,0.880189174986863,229,FALSE
"CG33_3","CG33","3","2010s",517500.092584318,6117499.8595068,78,0.130572741734371,0.879663688912244,230,FALSE
"FG37_3","FG37","3","2010s",667500.245915687,6137499.69440044,80,0.130402358469483,0.879138202837625,231,FALSE
"BF07_3","BF07","3","2010s",452500.115222534,6187499.67835352,76,0.130329517530454,0.878612716763006,232,FALSE
"FG56_3","FG56","3","2010s",677500.290363267,6132499.70169495,85,0.13031751750783,0.878087230688387,233,FALSE
"CC31_3","CC31","3","2010s",517499.957391339,6307499.68638883,78,0.129975088676788,0.877561744613768,234,FALSE
"CE62_3","CE62","3","2010s",532500.09537951,6212499.75170156,92,0.129428215363242,0.877036258539149,235,FALSE
"GF52_3","GF52","3","2010s",727500.439820566,6162499.72220136,81,0.128832563110509,0.87651077246453,236,FALSE
"HA26_3","HA26","3","2010s",874161.47454869,6133287.39836534,69,0.128494871384586,0.875985286389911,237,FALSE
"DD02_3","DD02","3","2010s",552499.818061975,6262499.79050419,80,0.128377237527482,0.875459800315292,238,FALSE
"AF99_3","AF99","3","2010s",447500.123589179,6197499.75431511,65,0.12834572754224,0.874934314240673,239,FALSE
"CG73_3","CG73","3","2010s",537500.12412575,6117499.87130298,72,0.127515295518767,0.874408828166054,240,FALSE
