"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"BH59_2","BH59","2","1990s",1992,30,201,"All model-included surveys"
"BH59_3","BH59","3","2010s",2014,59,201,"All model-included surveys"
"BH66_1","BH66","1","1970s",1971,58,201,"All model-included surveys"
"BH66_2","BH66","2","1990s",1992,44,201,"All model-included surveys"
"BH66_3","BH66","3","2010s",2014,44,201,"All model-included surveys"
"BH67_1","BH67","1","1970s",1971,67,201,"All model-included surveys"
"BH67_2","BH67","2","1990s",1992,65,201,"All model-included surveys"
"BH67_3","BH67","3","2010s",2014,49,201,"All model-included surveys"
"BH68_1","BH68","1","1970s",1971,57,201,"All model-included surveys"
"BH68_2","BH68","2","1990s",1992,60,201,"All model-included surveys"
"BH68_3","BH68","3","2010s",2014,65,201,"All model-included surveys"
"BH69_1","BH69","1","1970s",1971,63,201,"All model-included surveys"
"BH69_2","BH69","2","1990s",1992,70,201,"All model-included surveys"
"BH69_3","BH69","3","2010s",2014,66,201,"All model-included surveys"
"BH76_1","BH76","1","1970s",1971,76,201,"All model-included surveys"
"BH76_2","BH76","2","1990s",1992,46,201,"All model-included surveys"
"BH76_3","BH76","3","2010s",2014,47,201,"All model-included surveys"
"BH77_1","BH77","1","1970s",1971,87,201,"All model-included surveys"
"BH77_2","BH77","2","1990s",1992,95,201,"All model-included surveys"
"BH77_3","BH77","3","2010s",2014,72,201,"All model-included surveys"
"BH78_1","BH78","1","1970s",1971,64,201,"All model-included surveys"
"BH78_2","BH78","2","1990s",1992,66,201,"All model-included surveys"
"BH78_3","BH78","3","2010s",2014,54,201,"All model-included surveys"
"BH79_1","BH79","1","1970s",1971,63,201,"All model-included surveys"
"BH79_2","BH79","2","1990s",1992,78,201,"All model-included surveys"
"BH79_3","BH79","3","2010s",2014,69,201,"All model-included surveys"
"BH86_1","BH86","1","1970s",1971,47,201,"All model-included surveys"
"BH86_2","BH86","2","1990s",1992,82,201,"All model-included surveys"
"BH86_3","BH86","3","2010s",2014,73,201,"All model-included surveys"
"BH87_1","BH87","1","1970s",1971,86,201,"All model-included surveys"
"BH87_2","BH87","2","1990s",1992,86,201,"All model-included surveys"
"BH87_3","BH87","3","2010s",2014,82,201,"All model-included surveys"
"BH88_1","BH88","1","1970s",1971,63,201,"All model-included surveys"
"BH88_2","BH88","2","1990s",1992,50,201,"All model-included surveys"
"BH88_3","BH88","3","2010s",2014,59,201,"All model-included surveys"
"BH89_1","BH89","1","1970s",1971,60,201,"All model-included surveys"
"BH89_2","BH89","2","1990s",1992,85,201,"All model-included surveys"
