"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"FH44",82,72,-10,100
"FH45",73,49,-24,100
"FH46",69,59,-10,94.9124392999334
"FH52",72,71,-1,96.8721418951111
"FH54",62,75,13,100
"FH55",36,63,27,84.6401315772039
"FH56",86,55,-31,58.5142671307437
"FH58",85,75,-10,62.7313015856893
"FH62",59,73,14,66.3060114282826
"FH65",15,68,53,85.5773740636147
"FH71",45,67,22,65.7867587159765
"FH72",48,52,4,91.5997865486353
"FH74",59,75,16,97.206687759511
"FH75",62,67,5,100
"FH76",54,64,10,100
"FH79",48,60,12,31.7283339697247
"FH80",65,61,-4,37.5652435485497
"FH81",54,66,12,28.2062283770447
"FH83",31,68,37,67.4957157243843
"FH84",45,59,14,100
"FH85",54,78,24,100
"FH86",55,75,20,100
"FH87",57,65,8,64.500009491374
"FH95",64,69,5,88.7598294289932
"FH96",51,52,1,100
"FH98",78,57,-21,33.5167924547224
"GE00",61,74,13,100
"GE01",69,105,36,100
"GE02",63,84,21,100
"GE03",68,76,8,100
"GE04",53,73,20,93.5453872733405
"GE10",74,85,11,100
"GE11",86,86,0,100
"GE12",65,77,12,100
"GE13",71,83,12,100
"GE14",44,62,18,90.6073619752655
"GE20",62,75,13,100
"GE21",68,74,6,100
"GE24",60,65,5,47.3458937305288
"GE30",89,85,-4,99.4274393275585
"GE32",68,93,25,100
"GE34",42,58,16,35.6199657097461
"GE43",68,83,15,75.342020850832
"GF00",74,82,8,44.1664638961888
"GF01",60,67,7,67.4654291536724
"GF02",52,70,18,98.8543753574924
"GF03",38,63,25,100
"GF04",54,61,7,100
"GF06",67,77,10,100
"GF07",66,68,2,100
"GF08",66,78,12,100
"GF09",65,75,10,100
"GF12",37,54,17,33.0314489032631
"GF13",44,55,11,99.8152499354782
"GF15",59,75,16,100
"GF16",52,67,15,100
"GF17",71,83,12,100
"GF18",58,89,31,100
"GF19",63,76,13,100
"GF23",62,79,17,62.2933403659254
"GF25",50,75,25,100
"GF26",59,79,20,100
"GF27",72,78,6,100
"GF28",58,76,18,100
"GF29",72,83,11,100
"GF33",51,63,12,42.2636306633703
"GF34",56,61,5,100
"GF36",65,72,7,100
"GF37",67,73,6,100
"GF38",80,71,-9,100
"GF43",58,72,14,72.2181414040788
"GF44",60,60,0,84.9433709696846
"GF45",52,48,-4,99.6954269476727
"GF46",61,81,20,99.9207256744518
"GF47",93,70,-23,99.9733465857925
"GF48",70,71,1,82.1998105339413
"GF49",69,59,-10,51.2021220988655
"GF52",75,83,8,25.6027864817836
"GF53",68,72,4,98.7286620279293
"GF54",57,68,11,93.4387792855835
"GF55",36,54,18,50.3573385187571
