bioregion,species,expected_occurrence_sum,expected_occurrence_share,n_sites,mean_predicted_probability,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,species_label
Cluster 1,Jynx_torquilla,17.0748651032583,7.961880147610486e-4,401,0.04258071098069401,129,medium,short-distance,Woodpeckers,11.8812540667,Jynx torquilla
Cluster 1,Turdus_pilaris,16.926004868391992,7.892467748649599e-4,401,0.042209488449855344,130,very cold,short-distance,Thrushes,10.0287125382,Turdus pilaris
Cluster 1,Scolopax_rusticola,15.314314610322759,7.140948800053631e-4,401,0.03819031074893456,131,very cold,sedentary and short-distance,Scolopacids,10.6010955955,Scolopax rusticola
Cluster 1,Locustella_luscinioides,13.830736906775835,6.449167764368976e-4,401,0.034490615727620536,132,very warm,long-distance,Marsh warblers,13.5908101527,Locustella luscinioides
Cluster 1,Tyto_alba,11.93797142534538,5.566585570041255e-4,401,0.02977050230759446,133,very warm,sedentary,Owls,13.9906366009,Tyto alba
Cluster 1,Podiceps_nigricollis,11.72808716027881,5.468718128440767e-4,401,0.02924710015032122,134,very warm,short-distance,Aquatic pursuers,13.3391366196,Podiceps nigricollis
Cluster 1,Coturnix_coturnix,10.615557064138136,4.949953779058508e-4,401,0.026472710883137494,135,very warm,short-and long-distance,Gallinaceous birds,13.6002736383,Coturnix coturnix
Cluster 1,Astur_gentilis,9.186097313899507,4.2834075347159185e-4,401,0.022907973351370344,136,cold,sedentary,Diurnal raptors,11.8007973825,Astur gentilis
Cluster 1,Mareca_strepera,8.502729417630938,3.964758265517487e-4,401,0.02120381400905471,137,warm,short-distance,Dabbling ducks,12.5158986156,Mareca strepera
Cluster 1,Corvus_corax,6.819249986970377,3.179764569998968e-4,401,0.01700561094007575,138,cold,sedentary,Omnivorous corvids,11.7378412998,Corvus corax
Cluster 1,Larus_marinus,6.666988846749573,3.1087663546546353e-4,401,0.016625907348502673,139,very cold,sedentary and short-distance,Gulls,8.3694639418,Larus marinus
Cluster 1,Alcedo_atthis,5.536313841426285,2.5815411716829115e-4,401,0.013806268931237618,140,very warm,sedentary,Kingfishers,13.5319163712,Alcedo atthis
Cluster 1,Streptopelia_turtur,5.473948284538329,0.00025524605853193834,401,0.01365074385171653,141,very warm,long-distance,Columbids,13.7662137901,Streptopelia turtur
Cluster 1,Remiz_pendulinus,5.2736482724319735,2.4590622082129425e-4,401,0.013151242574643325,142,very warm,short-distance,Tit-like birds,13.7399153521,Remiz pendulinus
Cluster 1,Larus_fuscus,4.4905152531676515,2.0938932185130452e-4,401,0.011198292401914342,143,very cold,short-and long-distance,Gulls,8.9178677716,Larus fuscus
Cluster 1,Mergus_merganser,4.405420965389132,2.0542143972490594e-4,401,0.010986087195484119,144,very cold,short-distance,Aquatic pursuers,7.9118621485,Mergus merganser
Cluster 1,Pernis_apivorus,4.185451944917427,1.9516445106589284e-4,401,0.010437536022237971,145,medium,long-distance,Diurnal raptors,11.9608484505,Pernis apivorus
Cluster 1,Lanius_excubitor,4.0820375190783444,1.9034231479081557e-4,401,0.010179644685980909,146,cold,sedentary,Shrikes,11.2044136127,Lanius excubitor
Cluster 1,Motacilla_cinerea,3.026192839879095,1.4110907786953238e-4,401,0.007546615560795749,147,warm,sedentary and short-distance,Open-land insectivores,12.9122079488,Motacilla cinerea
Cluster 1,Certhia_brachydactyla,2.4668782736052584,1.1502866367852801e-4,401,0.006151816143654011,148,very warm,sedentary,Tit-like birds,13.8972978687,Certhia brachydactyla
Cluster 1,Serinus_serinus,2.462178314907625,1.1480950816764709e-4,401,0.006140095548398067,149,very warm,short-distance,Passerine seedeaters,13.8814196118,Serinus serinus
Cluster 1,Regulus_ignicapilla,2.340645607535954,1.0914253016075661e-4,401,0.0058370214651769425,150,very warm,short-distance,Tit-like birds,13.1999439071,Regulus ignicapilla
Cluster 1,Ficedula_parva,2.2792567665848766,1.0628001504806076e-4,401,0.005683932086246575,151,cold,long-distance,Flycatchers,11.5985667049,Ficedula parva
Cluster 1,Dryocopus_martius,2.029149325190815,9.461769467034346e-5,401,0.00506022275608682,152,cold,sedentary,Woodpeckers,11.1193962821,Dryocopus martius
Cluster 1,Columba_oenas,1.8548381036731043,8.648969456191062e-5,401,0.0046255314306062455,153,warm,short-distance,Columbids,12.4358174295,Columba oenas
Cluster 1,Carpodacus_erythrinus,1.3490799515958163,6.290657536205284e-5,401,0.0033642891560992927,154,very cold,long-distance,Passerine seedeaters,10.348256227,Carpodacus erythrinus
Cluster 1,Tringa_ochropus,1.1726386114121312,5.467924943513703e-5,401,0.00292428581399534,155,very cold,short-and long-distance,Scolopacids,9.8785200822,Tringa ochropus
Cluster 1,Cinclus_cinclus,0.8587627034058749,4.004345380421665e-5,401,0.0021415528763238777,156,cold,short-distance,Dippers,11.0150016531,Cinclus cinclus
Cluster 1,Dryobates_minor,0.20353135859004134,9.490512947390793e-6,401,5.075594977307764e-4,157,cold,sedentary and short-distance,Woodpeckers,11.5509643269,Dryobates minor
Cluster 2,Turdus_merula,494.1580063350114,0.022467783474453384,496,0.9962863030947811,1,warm,sedentary,Thrushes,12.5843398181,Turdus merula
Cluster 2,Alauda_arvensis,492.8923725732104,0.022410239156738083,496,0.9937346221234081,2,medium,sedentary and short-distance,Open-land insectivores,12.1983199326,Alauda arvensis
Cluster 2,Emberiza_citrinella,487.886457076356,0.022182636195675287,496,0.9836420505571694,3,cold,sedentary,Buntings,11.5528442066,Emberiza citrinella
Cluster 2,Fringilla_coelebs,487.16789379391327,0.022149965422287733,496,0.9821933342619219,4,medium,sedentary and short-distance,Foliage gleaners,12.2951633877,Fringilla coelebs
Cluster 2,Parus_major,479.8474636393451,0.021817128885098874,496,0.9674344024986796,5,medium,sedentary and short-distance,Tit-like birds,12.343727765,Parus major
Cluster 2,Hirundo_rustica,478.20144909212615,0.02174228987011053,496,0.9641158247825125,6,warm,long-distance,Aerial insectivores,12.4305273248,Hirundo rustica
Cluster 2,Sturnus_vulgaris,473.89243406246334,0.021546372743536657,496,0.9554282944807728,7,cold,short-distance,Starlings,11.8027600322,Sturnus vulgaris
Cluster 2,Passer_domesticus,473.7831822405928,0.021541405412750736,496,0.9552080287108725,8,medium,sedentary,Passerine seedeaters,12.2628071769,Passer domesticus
