survey,beta_turnover,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
BF83_1,0.22308794196914436,BF83,492500.0286680475,6167499.768765947,8.40766524718342,149.29135219705,0.696550330188572,0,0.227478149843385,0.0850398243809352,0.377235407058718,0.310246618716962,-3.9094206037002704e-4,9.316668661079709e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BC21_1,0.2208496998435743,BC21,462500.08463837503,6307499.738256342,8.31924583708412,139.221090998178,0.689908880456291,0,0.0834584985144627,0.259555293773208,0.436564417651838,0.203622491358314,-0.004439858805153961,8.74118271599835e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF85_1,0.2259726195795854,BF85,492500.0351787714,6177499.752555744,8.42500503204291,149.442617405733,0.171534849151622,0.053850256795519,0.907796410295967,0,0,0.0383533329085144,0.0020573659074057354,2.0511597720679976e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF87_1,0.322205507214049,BF87,492500.07761814806,6187499.77211941,8.43439115963091,148.785538775448,0.692610135557959,0.0974186710659331,0.389302041408653,0,0.204813916684109,0.308465370841305,0.07872672100072041,3.877712296884986e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF88_1,0.22515246083095958,BF88,492500.07324634277,6192499.725767915,8.39856057869882,151.525314633664,0.53362297774445,0.0243546677680264,0.608957603773185,0,0.301082057096337,0.0656056713624524,0.001300554187199049,2.8667183131135692e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF89_1,0.2103140394072651,BF89,492500.0313184269,6197499.716196409,8.44126178492608,147.940954241762,0.558071534358504,0,0.558942876947529,0,0.347218677683305,0.0938384453691661,-0.010346577942194431,7.30454650855308e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF90_1,0.2190938545350787,BF90,497500.06872812915,6152499.8867905075,8.3951800680357,152.34824580067001,0.471217375019373,0.138598603223953,0.704011573335557,0,0.104581472504422,0.0528083509360687,-0.002759759412683288,0.001523757187143858,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF91_1,0.23710643323420744,BF91,497500.05965140025,6157499.795699069,8.32070460037679,154.397078796932,0.602167955814003,0,0.565702180408442,0.0487093353723635,0.20307829715443,0.182510187064765,0.00681680520148219,0.008165527232471485,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF92_1,0.2260735377615028,BF92,497500.05900778656,6162499.852742528,8.34900429383533,151.118671474255,0.740682957777685,0.121773338425052,0.387057222156587,0.073064003055031,0.239235856298721,0.178869580064609,0.0014177878619811898,0.0029218062548081506,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF93_1,0.2643320698084579,BF93,497500.06666914717,6167499.835318215,8.35739324429346,151.425397365667,0.700482448104172,0,0.336918188206351,0.0764206731027473,0.330176282376431,0.25648485631447,0.02297678027299288,0.002501925428540568,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF94_1,0.20195040611665002,BF94,497500.0197826457,6172499.743439123,8.32110711684987,154.528187241219,0.212281867599031,0.0239304801350741,0.88466563353962,0,0.0327627365074567,0.0586411498178492,-0.01414283715095079,5.921752751727242e-4,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
