atlas,survey,beta_turnover,site,X,Y
1,DB56_1,0.17418055916583697,DB56,577499.5641771164,6382499.691316109
1,DB57_1,0.19540907450099218,DB57,577499.537492288,6387499.64755162
1,DB60_1,0.17124649564166244,DB60,582499.5631405126,6352499.870773819
1,DB62_1,0.17860317892747693,DB62,582499.4927491389,6362499.801014301
1,DB63_1,0.2019557773711765,DB63,582499.5234498292,6367499.770816479
1,DB64_1,0.19300066516889916,DB64,582499.4955886239,6372499.778775646
1,DB65_1,0.19859590250433676,DB65,582499.4702860015,6377499.714756137
1,DB66_1,0.2147641089572353,DB66,582499.5038627629,6382499.691246823
1,DB67_1,0.2102469650882127,DB67,582499.4776775325,6387499.594470724
1,DB68_1,0.3859876321007855,DB68,582499.4481154357,6392499.536917151
1,DB70_1,0.2169899420841036,DB70,587499.5384229121,6352499.942973814
1,DB71_1,0.2713062869198725,DB71,587499.4899705768,6357499.898755164
1,DB72_1,0.17401376886172387,DB72,587499.4900431393,6362499.784009084
1,DB73_1,0.20324016986381832,DB73,587499.4724052523,6367499.8200299665
1,DB74_1,0.1795864257451262,DB74,587499.4405852477,6372499.784163884
1,DB75_1,0.23153855556086395,DB75,587499.4508390957,6377499.788968703
1,DB77_1,0.21042345802214626,DB77,587499.4197526195,6387499.582648063
1,DB78_1,0.197081971109468,DB78,587499.3735523641,6392499.482754864
1,DB79_1,0.24682068734985738,DB79,587499.3020525747,6397499.533405255
1,DB80_1,0.28645043000699877,DB80,592499.4685152426,6352499.8696485795
1,BD26_1,0.22524645834533158,BD26,462500.0396707308,6282499.770858137
1,DB81_1,0.22442031089280182,DB81,592499.4687914647,6357499.903263027
1,DB82_1,0.18020214208396612,DB82,592499.4395459738,6362499.8651057985
1,DB83_1,0.2009658566144661,DB83,592499.43704912,6367499.867802329
1,DB89_1,0.20556466746068847,DB89,592499.276854376,6397499.389086184
1,DC00_1,0.2346330953968282,DC00,552499.7981343176,6302499.822003722
1,DC01_1,0.16753553930887477,DC01,552499.82723216,6307499.828336293
1,DC02_1,0.1681662600208848,DC02,552499.7944827778,6312499.871378481
1,BD27_1,0.18590268440802385,BD27,462500.0084153306,6287499.80222181
1,DC03_1,0.19689021393142633,DC03,552499.7615257066,6317499.840557125
1,DC04_1,0.2039524277067725,DC04,552499.7262227507,6322499.847153073
1,DC05_1,0.25332430710147863,DC05,552499.6892463007,6327499.779825433
1,DC10_1,0.1743964013842984,DC10,557499.8206087413,6302499.8354761265
1,DC11_1,0.21597966896699608,DC11,557499.7664055785,6307499.841569215
1,DC12_1,0.19664177326756033,DC12,557499.7547180243,6312499.886004784
1,DC13_1,0.24360696993487843,DC13,557499.7253695964,6317499.856604637
1,DC14_1,0.21289456965195358,DC14,557499.73675981,6322499.865488209
1,DC15_1,0.19371085754867381,DC15,557499.7273178204,6327499.9117859565
1,BD28_1,0.18516318107666505,BD28,462500.04522956035,6292499.758577253
1,DC16_1,0.17650786666324256,DC16,557499.6978451451,6332499.884155993
1,DC17_1,0.17520977181519679,DC17,557499.7080623058,6337499.783408084
1,DC18_1,0.197421630515708,DC18,557499.693518839,6342499.831295908
1,DC19_1,0.19364678428103618,DC19,557499.6565704292,6347499.805162802
1,DC20_1,0.19387251903021605,DC20,562499.7978840575,6302499.938668321
1,DC21_1,0.1809337376601504,DC21,562499.7828758188,6307499.956366545
1,DC22_1,0.18646217354851968,DC22,562499.7944753097,6312499.901183143
1,DC23_1,0.217079557159649,DC23,562499.7692934149,6317499.883481737
1,DC24_1,0.3034295497413962,DC24,562499.7065775642,6322499.903231546
1,DC25_1,0.29973238160709076,DC25,562499.7284663095,6327499.850920295
1,BD29_1,0.21729918201229026,BD29,462500.0292985126,6297499.752303558
1,DC26_1,0.228044129182156,DC26,562499.7110273131,6332499.835998577
1,DC27_1,0.19107649244580457,DC27,562499.653506505,6337499.858435164
1,DC28_1,0.19282168870583877,DC28,562499.677609729,6342499.808717862
1,DC30_1,0.22237354844617255,DC30,567499.8116184272,6302499.909548791
1,DC31_1,0.19874988689515974,DC31,567499.7755507686,6307499.948179211
1,DC32_1,0.17397817725116674,DC32,567499.8096190846,6312499.914980982
1,DC33_1,0.1943389685119857,DC33,567499.7285674406,6317499.918270218
1,DC34_1,0.31838155333931656,DC34,567499.7138947316,6322499.9609747855
1,DC35_1,0.20899964291548098,DC35,567499.7056084871,6327499.930768742
1,DC36_1,0.19091268979212245,DC36,567499.7009201018,6332499.938928539
1,DC37_1,0.23535562147714137,DC37,567499.6402083595,6337499.873123914
1,DC39_1,0.24068988134839056,DC39,567499.6437902323,6347499.858365299
1,DC40_1,0.22098643953660824,DC40,572499.8148650045,6302499.969526697
1,DC41_1,0.25909996045457434,DC41,572499.821296516,6307499.929013042
1,DC42_1,0.18708164221860402,DC42,572499.8176624437,6312499.927039073
1,DC43_1,0.2194051806798984,DC43,572499.74222273,6317499.962513002
