survey,richness,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
DG49_2,61.81506242131108,DG49,572500.0622560608,6147499.916709808,8.29222963355962,183.794194822047,0.484720108198282,0.183197280117118,0.683485615066541,0,0.1192803957991,0.0140367090172404,-8.491364114162724e-4,0.5381037629128836,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG51_2,77.68141837898655,DG51,577500.0918429886,6107499.86185285,8.57309908017582,183.817875682204,0.683686081376038,0.301329103665122,0.452640363348271,0,0.0279438855651829,0.0247136931306588,-1.227359013059754e-4,0.9864300238638815,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG52_2,53.88973439661725,DG52,577500.0899779424,6112499.887439063,8.32638217163951,202.722094626555,0.667241979998245,0.189560813118585,0.506892588640597,0.0243546668120983,0.132704904239188,0.146487027189531,0.0012157158604279292,0.9383278355469604,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG53_2,52.04647727264322,DG53,577500.1013102453,6117499.841510532,8.27201836038144,188.486114533778,0.481980313608629,0.205189837029265,0.683731160049197,0,0.0891493623949698,0.0219296405265686,8.81799390727142e-4,0.958469929333164,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG54_2,49.782745681291985,DG54,577500.1209952927,6122499.946588742,8.4260395671776,179.088486280631,0.35216762786657,0.170258630370679,0.785811525588926,0,0.0346622091172234,0.00926763492317119,-2.331229284699983e-4,0.9951936267168965,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG55_2,48.39209666563816,DG55,577500.0903837337,6127499.86770983,8.43183825814082,178.166378505865,0.213301638506274,0.0904533207730612,0.881743774457385,0,0,0.027802904769554,-0.0019000663384202345,0.9614129648998149,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG56_2,59.34308615687967,DG56,577500.129765069,6132499.940893321,8.26599299153352,184.056231589338,0.38445439380609,0.198320978378757,0.757819740567821,0,0.0438592810534217,0,0.0010694667254914107,0.7869297224764769,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG57_2,62.916976474111806,DG57,577500.1151194031,6137499.9413368525,8.14520195568495,187.858722402585,0.608073061936837,0.191944432061503,0.531290400265417,0,0.258499167563934,0.0182660001091459,1.2471846941676344e-4,0.9720929893281063,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG58_2,77.54213309532055,DG58,577500.1070374141,6142499.981399613,8.33601531644966,171.985688597466,0.618418435119597,0.123638144251725,0.508790360978375,0,0.323712213715747,0.043859281054153,-0.006506565452852653,0.8697254020619387,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG59_2,44.865021227603464,DG59,577500.1065061892,6147499.949774658,8.37276776947953,179.394260929813,0.458109990134304,0.141064225722364,0.711514050264131,0,0.123067057201587,0.024354666811919,0.004309947653557195,0.8787894747471742,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
