response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG85_2,BG85,492500.03347061033,6127499.861656778,71.43723227786933,62.06727976419558,9.369952513673745,5.460555055804715,0.5988924746423265,9.117755335072284,9.117755335072284,0.22398576049689398,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG86_2,BG86,492500.0510949549,6132499.929393534,59.95179722226503,54.35302770740513,5.598769514859896,5.309932914450515,0.5865971106808164,9.052095241805231,9.052095241805231,0.22235681834237878,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG87_2,BG87,492500.02925978525,6137499.922894773,64.68675304173374,62.57459852717569,2.11215451455805,5.151220022388657,0.5761552637670995,8.940680310213994,8.940680310213994,0.22055558926368365,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG88_2,BG88,492500.0314784392,6142499.842027559,18.41860491383534,51.09497945140118,-32.67637453756584,4.983567273874758,0.5673081185419367,8.784586560621133,8.784586560621133,0.21859694032919236,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG89_2,BG89,492500.05814519007,6147499.909344381,37.37844220503361,50.59024931643623,-13.21180711140262,4.807421248683293,0.5599805902204296,8.584978359322973,8.584978359322973,0.2163794902139635,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG90_2,BG90,497500.04236272007,6102499.824620573,64.6138706855915,63.001460094806205,1.612410590785288,6.022596918427596,0.675699177183813,8.913133420597974,8.913133420597974,0.22879254482017655,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG91_2,BG91,497500.01451139763,6107499.808974277,48.18748107748336,51.09326415489832,-2.9057830774149593,5.915376272755293,0.6544086296234931,9.039269968305033,9.039269968305033,0.22678426603022986,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG92_2,BG92,497500.05856603594,6112499.830354991,63.00721736663206,62.80315528695887,0.2040620796731929,5.799030093339786,0.6346227246428557,9.137759913345814,9.137759913345814,0.22499604894604502,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG93_2,BG93,497500.04702172836,6117499.888816063,60.21320084387609,60.96058098855238,-0.747380144676292,5.676078533551333,0.6166291700329362,9.205011389986879,9.205011389986879,0.2233711513713591,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG94_2,BG94,497500.04360713303,6122499.873015075,45.28688991895429,58.03773433402362,-12.75084441506933,5.544386922306785,0.6004786197004426,9.233279488073501,9.233279488073501,0.22170811286904124,TRUE,Positive
