Species,atlas,period,PC1,PC2
Periparus_ater,2,1990s,0.4140442158994072,-0.08873351476090142
Pernis_apivorus,2,1990s,0.5959226438326235,0.13193504920074822
Phoenicurus_ochruros,2,1990s,0.08547590481497691,0.1730914856104831
Phoenicurus_phoenicurus,2,1990s,0.24363694580309053,0.054165565122681676
Phylloscopus_collybita,2,1990s,0.14099026105258813,0.06009365102970646
Phylloscopus_sibilatrix,2,1990s,0.17794770563830417,-0.1147581432360013
Phylloscopus_trochilus,2,1990s,0.16321861991100847,-0.08553994159997073
Pica_pica,2,1990s,0.4684032675822135,-0.4242447135550797
Picus_viridis,2,1990s,0.14718946616700465,-0.12058403443470175
Podiceps_cristatus,2,1990s,0.17317627798827406,0.03694338600378395
Podiceps_grisegena,2,1990s,0.20002303210768926,-0.08218236258994269
Podiceps_nigricollis,2,1990s,0.22688692468218602,0.006126370554813757
Poecile_palustris,2,1990s,0.4299156940843806,0.07593651703662595
Porzana_porzana,2,1990s,-0.10074489701356233,-0.12391641091924016
Prunella_modularis,2,1990s,0.1728660213526947,0.0893400052791654
Pyrrhula_pyrrhula,2,1990s,0.2770425317311427,-0.04365087885455265
Rallus_aquaticus,2,1990s,-0.022104804862731336,-0.18527344102897372
Recurvirostra_avosetta,2,1990s,-0.9678487935293121,0.06459522192596003
Regulus_ignicapilla,2,1990s,-0.17510735711779443,0.43333176898266607
Regulus_regulus,2,1990s,0.34585345411108326,-0.021513270189754376
Remiz_pendulinus,2,1990s,0.30420385040205655,-0.060533007787338396
Riparia_riparia,2,1990s,-0.06178872391877748,-0.11252868142857213
Saxicola_rubetra,2,1990s,0.4042444765297861,0.06883141864908128
Scolopax_rusticola,2,1990s,0.22685737102678213,-0.1465502044087601
Serinus_serinus,2,1990s,-0.09790922062730804,-0.013886871329916688
Sitta_europaea,2,1990s,0.37932977534402623,-0.054841681383382856
Somateria_mollissima,2,1990s,-1.1289240522340773,-0.3597547935760042
Spatula_clypeata,2,1990s,-0.3094763743110198,0.10270001384110815
Spatula_querquedula,2,1990s,-0.2169535251140422,0.020479299737464072
Spinus_spinus,2,1990s,0.09386809132177693,-0.034140855740879765
Sterna_hirundo,2,1990s,-0.3265731797084603,-0.1287733423556975
Sterna_paradisaea,2,1990s,-1.4686021516961174,-0.11135457900301757
Sternula_albifrons,2,1990s,-0.77521343487756,-0.10023965813674193
Streptopelia_decaocto,2,1990s,0.33105971871475043,-0.1619482713945726
Streptopelia_turtur,2,1990s,0.284283361071512,0.7447067297587564
Strix_aluco,2,1990s,0.17552687828081015,-0.033356641116931846
Sturnus_vulgaris,2,1990s,0.35481198559178057,-0.06252881886480456
Sylvia_atricapilla,2,1990s,0.2919813635437326,-0.0371904851807888
Sylvia_borin,2,1990s,0.046390452625405434,-0.19629302164908302
Tachybaptus_ruficollis,2,1990s,0.1868579589036193,-0.08663408031409224
Tadorna_tadorna,2,1990s,-0.3753679167707741,-0.09423737249638979
Thalasseus_sandvicensis,2,1990s,-1.0319517507672535,-0.1924243871455543
Tringa_glareola,2,1990s,-0.011202881600083104,0.10039982667503602
Tringa_ochropus,2,1990s,0.2706599021979262,-0.08167663156208277
Tringa_totanus,2,1990s,-0.9156432606187553,0.06539382074980755
Troglodytes_troglodytes,2,1990s,0.23169301979331847,-0.14798078884784452
Turdus_merula,2,1990s,0.5559407700446597,-0.30503254392930595
Turdus_philomelos,2,1990s,0.2643491514002665,-0.008968757585721318
Turdus_pilaris,2,1990s,0.3221873709086048,-0.37606701365565726
Turdus_viscivorus,2,1990s,0.318122309459961,0.22761677595014235
Tyto_alba,2,1990s,-0.05223153438602557,0.07873877822274361
Vanellus_vanellus,2,1990s,0.12859420271105682,0.030228783119532282
Acanthis_flammea,3,2010s,-0.14150618783214336,0.10119781158771401
Accipiter_nisus,3,2010s,0.1867502441905853,-0.06637575333087757
Acrocephalus_arundinaceus,3,2010s,-0.0909634805447577,-0.21836538942660946
Acrocephalus_palustris,3,2010s,0.0012082452480521662,-0.08810046527468492
Acrocephalus_schoenobaenus,3,2010s,-0.2242374083814208,-0.10866970528072639
Acrocephalus_scirpaceus,3,2010s,-0.4712680188110694,-0.10277479488397595
Aegithalos_caudatus,3,2010s,0.30370492458551246,0.055680913315093054
Alauda_arvensis,3,2010s,0.419130724383885,0.15050069092128948
Alcedo_atthis,3,2010s,0.48520317654932166,0.03692867480595817
Anarhynchus_alexandrinus,3,2010s,-0.8761643864767654,0.20086881188286024
Anas_acuta,3,2010s,-0.7059557260553024,0.02392042194955496
Anas_crecca,3,2010s,0.04880499662069399,0.1454372910689334
